,category,mc1,mc2
0,abstract_algebra,27.27,29.62
1,anatomy,57.14,48.66
2,astronomy,31.25,32.16
3,business_ethics,45.45,46.05
4,clinical_knowledge,34.48,35.47
5,college_biology,38.46,36.34
6,college_chemistry,37.5,30.82
7,college_computer_science,27.27,31.39
8,college_mathematics,9.09,11.63
9,college_medicine,31.82,34.15
10,college_physics,27.27,33.07
11,computer_security,54.55,49.23
12,conceptual_physics,34.62,35.23
13,econometrics,33.33,40.57
14,electrical_engineering,25,30.32
15,elementary_mathematics,46.34,47.87
16,formal_logic,28.57,32.94
17,global_facts,30,38.74
18,high_school_biology,34.38,30.38
19,high_school_chemistry,22.73,23.22
20,high_school_computer_science,22.22,28.21
21,high_school_european_history,50,48.88
22,high_school_geography,54.55,54.44
23,high_school_government_and_politics,42.86,39.77
24,high_school_macroeconomics,39.53,40.2
25,high_school_mathematics,24.14,25.27
26,high_school_microeconomics,46.15,45.87
27,high_school_physics,5.88,11.94
28,high_school_psychology,60,58.09
29,high_school_statistics,30.43,31.3
30,high_school_us_history,40.91,38.76
31,high_school_world_history,34.62,33.8
32,human_aging,60.87,55.98
33,human_sexuality,41.67,46.26
34,international_law,15.38,18.78
35,jurisprudence,36.36,42
36,logical_fallacies,44.44,47.24
37,machine_learning,36.36,24.06
38,management,54.55,52.22
39,marketing,68,69.74
40,medical_genetics,54.55,57.4
41,miscellaneous,61.63,60.45
42,moral_disputes,52.63,51.22
43,moral_scenarios,24,26.25
44,nutrition,33.33,31.48
45,philosophy,41.18,38.72
46,prehistory,42.86,42.11
47,professional_accounting,25.81,27.05
48,professional_law,24.12,25.02
49,professional_medicine,38.71,41.95
50,professional_psychology,43.48,43.21
51,public_relations,33.33,32.72
52,security_studies,40.74,39.14
53,sociology,31.82,31.59
54,us_foreign_policy,27.27,23.67
55,virology,38.89,37.16
56,world_religions,73.68,71.85

