,category,mc1,mc2
0,abstract_algebra,0.2727272727272727,0.2536328989833612
1,anatomy,0.5714285714285714,0.5370125249629277
2,astronomy,0.3125,0.2941585384639449
3,business_ethics,0.6363636363636364,0.5296759787791436
4,clinical_knowledge,0.3448275862068966,0.3408734820602937
5,college_biology,0.38461538461538464,0.3578828701475143
6,college_chemistry,0.375,0.31115146692805873
7,college_computer_science,0.2727272727272727,0.2882623079611965
8,college_mathematics,0.18181818181818182,0.17586246458369817
9,college_medicine,0.36363636363636365,0.4119875164337856
10,college_physics,0.36363636363636365,0.35828777252280175
11,computer_security,0.45454545454545453,0.47407749707647645
12,conceptual_physics,0.34615384615384615,0.345030024554195
13,econometrics,0.3333333333333333,0.3830009736099072
14,electrical_engineering,0.3125,0.325928677009531
15,elementary_mathematics,0.6097560975609756,0.5313223214941316
16,formal_logic,0.35714285714285715,0.37206623080628426
17,global_facts,0.3,0.447022030388929
18,high_school_biology,0.34375,0.30199004906280336
19,high_school_chemistry,0.22727272727272727,0.23699773633800805
20,high_school_computer_science,0.3333333333333333,0.28162686744820226
21,high_school_european_history,0.5,0.45373257620175267
22,high_school_geography,0.5,0.5256657519719887
23,high_school_government_and_politics,0.5714285714285714,0.5131145508669491
24,high_school_macroeconomics,0.4418604651162791,0.4278128278640516
25,high_school_mathematics,0.2413793103448276,0.2404148670550101
26,high_school_microeconomics,0.46153846153846156,0.4572722988954761
27,high_school_physics,0.11764705882352941,0.12426003161259776
28,high_school_psychology,0.6333333333333333,0.5975782701801922
29,high_school_statistics,0.34782608695652173,0.3468464547087619
30,high_school_us_history,0.45454545454545453,0.45295480528492826
31,high_school_world_history,0.34615384615384615,0.33337823950642265
32,human_aging,0.5652173913043478,0.5378221484225865
33,human_sexuality,0.5,0.4658772524011528
34,international_law,0.15384615384615385,0.18070114078392824
35,jurisprudence,0.36363636363636365,0.4127529979232332
36,logical_fallacies,0.3888888888888889,0.442310887462636
37,machine_learning,0.2727272727272727,0.22595233193753944
38,management,0.45454545454545453,0.5069518436838524
39,marketing,0.68,0.6664555191522531
40,medical_genetics,0.5454545454545454,0.5554279537693462
41,miscellaneous,0.6046511627906976,0.5998389150897082
42,moral_disputes,0.5263157894736842,0.5129189171592246
43,moral_scenarios,0.26,0.27885723042338567
44,nutrition,0.3333333333333333,0.3485283610237223
45,philosophy,0.47058823529411764,0.4260382666330571
46,prehistory,0.45714285714285713,0.4577574496602013
47,professional_accounting,0.22580645161290322,0.23269231881369495
48,professional_law,0.2529411764705882,0.26180707945057835
49,professional_medicine,0.4838709677419355,0.4587092464474005
50,professional_psychology,0.4492753623188406,0.4641079019349638
51,public_relations,0.3333333333333333,0.29321227542450445
52,security_studies,0.4074074074074074,0.41047149310517206
53,sociology,0.4090909090909091,0.38059936332746086
54,us_foreign_policy,0.2727272727272727,0.23670646900777378
55,virology,0.2777777777777778,0.32678623607032925
56,world_religions,0.7368421052631579,0.6988218133781053

